index,tehsil_name,tehsil_code_census,tehsil_name_english,district_code,district_name,district_name_english
0,अमरोहा,00730,Amroha,137,अमरोहा,Amroha
1,धनौरा,00729,Dhanaura,137,अमरोहा,Amroha
2,नौगावां सादात,01056,Naugawan Sadat,137,अमरोहा,Amroha
3,हसनपुर,00731,Hasanpur,137,अमरोहा,Amroha
4,अमेठी,00914,Amethi,203,अमेठी,Amethi
5,गौरीगंज,00913,Gauriganj,203,अमेठी,Amethi
6,तिलोई,00824,Tiloi,203,अमेठी,Amethi
7,मुसाफिरखाना,00912,Musafirkhana,203,अमेठी,Amethi
8,अकबरपुर,00910,Akbarpur,178,अम्बेडकरनगर,Ambedkarnagar
9,आलापुर,00908,Alapur,178,अम्बेडकरनगर,Ambedkarnagar
10,जलालपुर,00909,Jalalpur,178,अम्बेडकरनगर,Ambedkarnagar
11,टाण्डा,00907,Tanda,178,अम्बेडकरनगर,Ambedkarnagar
12,भीटी,00911,Bhiti,178,अम्बेडकरनगर,Ambedkarnagar
13,बीकापुर,00906,Bikapur,177,अयोध्या,Ayodhya
14,मिल्कीपुर,00903,Milkipur,177,अयोध्या,Ayodhya
15,रूदौली,00902,Rudauli,177,अयोध्या,Ayodhya
16,सदर,00905,Faizabad,177,अयोध्या,Ayodhya
17,सोहावल,00904,Sohwal,177,अयोध्या,Ayodhya
18,अतरोली,00754,Atrauli,143,अलीगढ़,Aligarh
19,इगलास,00756,Iglas,143,अलीगढ़,Aligarh
20,कोल,00755,Koil,143,अलीगढ़,Aligarh
21,खैर,00752,Khair,143,अलीगढ़,Aligarh
22,गभाना,00753,Gabhana,143,अलीगढ़,Aligarh
23,आगरा,00766,Agra,146,आगरा,Agra
24,एत्मादपुर,00765,Etmadpur,146,आगरा,Agra
25,किरावली,00767,Kiraoli,146,आगरा,Agra
26,खेरागढ़,00768,Kheragarh,146,आगरा,Agra
27,फतेहाबाद,00769,Fatehabad,146,आगरा,Agra
28,बाह,00770,Bah,146,आगरा,Agra
29,निजामाबाद,00967,Nizamabad,191,आजमगढ,Azamgarh
